Approved symbol	Ensembl gene ID	Previous symbols	Alias symbols
IGLV7-46	ENSG00000211649
IGLV8-61	ENSG00000211638
IGLV8OR8-1	ENSG00000215177		IGLV8/OR8-1
IGLV9-49	ENSG00000223350
IGLV10-54	ENSG00000211642
IGLV10-67	ENSG00000253794
IGLV11-55	ENSG00000211641
IGLV@		IGLV
IGLVI-20	ENSG00000254240		IGLV(I)-20
IGLVI-38	ENSG00000253889		IGLV(I)-38
IGLVI-42	ENSG00000254175		IGLV(I)-42
IGLVI-56	ENSG00000253126		IGLV(I)-56
IGLVI-63	ENSG00000253752		IGLV(I)-63
IGLVI-68	ENSG00000254355		IGLV(I)-68
IGLVI-70	ENSG00000253239		IGLV(I)-70
IGLVIV-53	ENSG00000253935		IGLV(IV)-53
IGLVIV-59	ENSG00000254308		IGLV(IV)-59
IGLVIV-64	ENSG00000253242		IGLV(IV)-64
IGLVIV-65	ENSG00000254161		IGLV(IV)-65
IGLVIV-66-1	ENSG00000253874		IGLV(IV)-66-1
IGLVIVOR22-1	ENSG00000271138		IGLV(IV)/OR22-1
IGLVIVOR22-2	ENSG00000243519		IGLV(IV)/OR22-2
IGLVV-58	ENSG00000253637		IGLV(V)-58
IGLVV-66	ENSG00000254075		IGLV(V)-66
IGLVVI-22-1	ENSG00000253546		IGLV(VI)-22-1
IGLVVI-25-1	ENSG00000253779		IGLV(VI)-25-1
IGLVVII-41-1	ENSG00000254073		IGLV(VII)-41-1
IGO1
IGSF1	ENSG00000147255		KIAA0364, IGDC1, IGCD1, INHBP, MGC75490, PGSF2
IGSF3	ENSG00000143061		V8, EWI-3, MGC117164
IGSF3P1	ENSG00000279124
IGSF3P2	ENSG00000223703
IGSF5	ENSG00000183067		JAM4
IGSF6	ENSG00000140749		DORA
IGSF8	ENSG00000162729		CD81P3, EWI2, PGRL, CD316
IGSF9	ENSG00000085552		KIAA1355, Nrt1, IGSF9A
IGSF9B	ENSG00000080854	MIR4697HG	KIAA1030, LINC00947, LOC283174
IGSF10	ENSG00000152580		FLJ25972, CMF608
IGSF11	ENSG00000144847		BT-IgSF, MGC35227, Igsf13, VSIG3, CT119
IGSF11-AS1	ENSG00000239877
IGSF21	ENSG00000117154		MGC15730, RP11-121A23.1
IGSF21-AS1	ENSG00000230035
IGSF22	ENSG00000179057		FLJ37794, IGFN2
IGSF22-AS1	ENSG00000254966
IGSF23	ENSG00000216588
IHG1		IHG
IHG2
IHH	ENSG00000163501		HHG2, BDA1
IHO1	ENSG00000173421	CCDC36	FLJ25320, CT74, LELA1
II			ULG3
IK	ENSG00000113141		RED, RER
IKBIP	ENSG00000166130		FLJ31051, IKIP
IKBKAP-IT1		C9orf120, NCRNA00298	bA3J11.5
IKBKB	ENSG00000104365		IKK2, NFKBIKB, IKK-beta, IKKB
IKBKB-DT	ENSG00000253408		RP11-231D20.2, ALAL-1, IKBKBAS
IKBKE	ENSG00000263528		IKKE, IKK-i, KIAA0151
IKBKE-AS1	ENSG00000162888	C1orf147	FLJ32597
IKBKG	ENSG00000269335	IP2, IP1	IKK-gamma, NEMO, Fip3p, FIP-3, FIP3, ZC2HC9, IKKAP1, IKKG
IKBKGP1	ENSG00000275882	IKBKGP	deltaNEMO
IKZF1	ENSG00000185811	ZNFN1A1	hIk-1, LyF-1, Hs.54452, IKAROS, PPP1R92
IKZF2	ENSG00000030419	ZNFN1A2	Helios
IKZF3	ENSG00000161405	ZNFN1A3	Aiolos
IKZF4	ENSG00000123411	ZNFN1A4	Eos
IKZF5	ENSG00000095574	ZNFN1A5	Pegasus, FLJ22973
IL1A	ENSG00000115008	IL1	IL1F1, IL-1A, IL1-ALPHA
IL1B	ENSG00000125538		IL1F2, IL-1B, IL1-BETA
IL1F10	ENSG00000136697		FKSG75, IL-1HY2, IL-1F10, IL1-theta, MGC11983, MGC119832, MGC119833
IL1R1	ENSG00000115594	IL1R, IL1RA	D2S1473, CD121A
IL1R1-AS1	ENSG00000226925		AC007271.3
IL1R2	ENSG00000115590	IL1RB	CD121b
IL1RAP	ENSG00000196083		IL-1RAcP, IL1R3, C3orf13
IL1RAPL1	ENSG00000169306	IL1RAPL, MRX34, MRX21, MRX10	OPHN4, TIGIRR-2, IL1R8, IL1RAPL-1
IL1RAPL2	ENSG00000189108		IL-1R9, TIGIRR-1, IL1RAPL-2, IL1R9
IL1RL1	ENSG00000115602		ST2, FIT-1, ST2L, ST2V, DER4, T1, IL33R
IL1RL2	ENSG00000115598		IL1R-rp2, IL1RRP2, IL-36R
IL1RN	ENSG00000136689		IL1RA, ICIL-1RA, IL1F3, IRAP, IL-1RN, MGC10430
IL2	ENSG00000109471		IL-2, TCGF
IL2R
IL2RA	ENSG00000134460	IL2R, IDDM10	CD25
IL2RA-AS1	ENSG00000229664
IL2RB	ENSG00000100385	IL15RB	CD122
IL2RB-AS1	ENSG00000235237
IL2RG	ENSG00000147168	SCIDX1, IMD4, CIDX	CD132
IL3	ENSG00000164399		IL-3, MULTI-CSF, MCGF, MGC79398, MGC79399
IL3RA	ENSG00000185291		CD123
IL3RB
IL4	ENSG00000113520		BSF1, IL-4, BCGF1, BCGF-1, MGC79402
IL4I1	ENSG00000104951		FIG1
IL4R	ENSG00000077238		CD124
IL5	ENSG00000113525		IL-5, EDF, TRF
IL5RA	ENSG00000091181	IL5R	CDw125, CD125
IL6	ENSG00000136244	IFNB2	IL-6, BSF2, HGF, HSF
IL6-AS1	ENSG00000179428
IL6R	ENSG00000160712		CD126, IL-6R, IL-1Ra, IL6RA, gp80
IL6R-AS1	ENSG00000228013		RP11-350G8.5
IL6RP1	ENSG00000234910	IL6RL1
IL6ST	ENSG00000134352		GP130, CD130, sGP130, IL-6RB
IL6ST-DT	ENSG00000227908
IL6ST2
IL6STP1	ENSG00000227018	IL6STP
IL7	ENSG00000104432		IL-7
IL7R	ENSG00000168685		CD127, IL7RA, lnc-IL7R, IL-7Ralpha, IL7Ralpha, sIL-7R, CDw127
IL9	ENSG00000145839		IL-9, HP40, P40
IL9R	ENSG00000124334		CD129
IL9RP1	ENSG00000229926
IL9RP2	ENSG00000232420
IL9RP3	ENSG00000226942
IL9RP4	ENSG00000262081
IL9RP5	ENSG00000278171
IL9RP6	ENSG00000270226
IL10	ENSG00000136634		CSIF, TGIF, IL10A, IL-10
IL10R
IL10RA	ENSG00000110324	IL10R	HIL-10R, CDW210A, CD210a, CD210
IL10RB	ENSG00000243646	CRFB4, D21S58, D21S66	CRF2-4, CDW210B, IL-10R2
IL10RB-DT	ENSG00000223799	IL10RB-AS1	IFNAR2-AS1
IL11	ENSG00000095752		IL-11, AGIF
IL11RA	ENSG00000137070
IL11RB
IL12A	ENSG00000168811	NKSF1	CLMF, IL-12A, p35, NFSK
IL12A-AS1	ENSG00000244040		ILAS1-AS1
IL12B	ENSG00000113302	NKSF2	CLMF, IL-12B, NKSF, CLMF2
IL12B-AS1	ENSG00000249738		Uc003xsl.1
IL12RB1	ENSG00000096996	IL12RB	CD212
IL12RB2	ENSG00000081985
IL13	ENSG00000169194		P600, IL-13, ALRH, BHR1, MGC116786, MGC116788, MGC116789
IL13RA1	ENSG00000131724		IL-13Ra, NR4, CD213a1
IL13RA2	ENSG00000123496		IL-13R, IL13BP, CD213a2, CT19
IL14
IL15	ENSG00000164136		IL-15, MGC9721
IL15RA	ENSG00000134470		CD215, IL-15RA
IL15RB
IL16	ENSG00000172349		LCF, IL-16, prIL-16, HsT19289, FLJ42735, FLJ16806
IL17A	ENSG00000112115	CTLA8, IL17	IL-17A, IL-17
IL17B	ENSG00000127743		IL-17B, ZCYTO7, IL-20, MGC138900, MGC138901, NIRF
IL17C	ENSG00000124391		IL-17C, CX2, IL-21, MGC126884, MGC138401
IL17D	ENSG00000172458		IL-27, IL-17D, IL27, FLJ30846
IL17F	ENSG00000112116		IL-17F, ML-1, ML1
IL17RA	ENSG00000177663	IL17R	hIL-17R, IL-17RA, CDw217, CD217
IL17RB	ENSG00000056736	IL17BR	IL17RH1, EVI27, CRL4
IL17RC	ENSG00000163702		IL17-RL
IL17RD	ENSG00000144730		SEF, IL17RLM, FLJ35755, IL-17RD
IL17RE	ENSG00000163701		FLJ23658
IL17REL	ENSG00000188263		FLJ41993
IL18	ENSG00000150782		IGIF, IL1F4, IL-1g, IL-18
IL18BP	ENSG00000137496		IL18BPa
IL18R1	ENSG00000115604		IL1RRP, IL-1Rrp, CD218a
IL18RAP	ENSG00000115607		AcPL, CD218b
IL19	ENSG00000142224		IL-19, MDA1, ZMDA1, IL-10C, NG.1
IL20	ENSG00000162891		ZCYTO10, IL10D, IL-20
IL20RA	ENSG00000016402		ZCYTOR7, IL-20R1
IL20RB	ENSG00000174564	FNDC6	DIRS1, IL-20R2, MGC34923
IL20RB-AS1	ENSG00000249407
IL21	ENSG00000138684		Za11, IL-21
IL21-AS1	ENSG00000227145
IL21R	ENSG00000103522		CD360
IL21R-AS1	ENSG00000259954
IL22	ENSG00000127318		ILTIF, IL-21, zcyto18, IL-TIF, IL-D110, TIFa, TIFIL-23, IL-22, MGC79382, MGC79384
IL22RA1	ENSG00000142677	IL22R	CRF2-9
IL22RA2	ENSG00000164485		CRF2-S1, IL-22BP
IL23A	ENSG00000110944		SGRF, IL23P19, IL-23, IL-23A, P19
IL23R	ENSG00000162594		IL-23R
IL24	ENSG00000162892	ST16	mda-7, IL10B, Mob-5, C49A, FISP, IL-24
IL25	ENSG00000166090	IL17E	IL-25, IL-17E
IL26	ENSG00000111536		AK155, IL-26
IL27	ENSG00000197272	IL30	IL-27, p28, IL27p28, IL-27A, IL27A, MGC71873
IL27RA	ENSG00000104998		WSX-1, TCCR, CRL1, WSX1, zcytor1, IL-27R
IL31	ENSG00000204671		IL-31
IL31RA	ENSG00000164509		CRL3, GLM-R, CRL, Glmr, IL-31RA
IL32	ENSG00000008517		NK4, TAIF, TAIFb, TAIFd
IL33	ENSG00000137033	C9orf26	DVS27, DKFZp586H0523, NF-HEV, IL1F11
IL34	ENSG00000157368	C16orf77	MGC34647, IL-34
IL36A	ENSG00000136694	IL1F6	FIL1, FIL1E, IL-1F6, IL1(EPSILON), MGC129553, MGC129552
IL36B	ENSG00000136696	IL1F8	FIL1, IL-1H2, IL-1F8, FILI-(ETA), IL1-ETA, IL1H2, MGC126880, MGC126882
IL36G	ENSG00000136688	IL1F9	IL-1H1, IL-1RP2, IL-1F9, IL1H1, IL1E
IL36RN	ENSG00000136695	IL1F5	FIL1, FIL1(DELTA), FIL1D, IL1HY1, IL1RP3, IL1L1, IL-1F5, IL36RA, MGC29840
IL37	ENSG00000125571	IL1F7	FIL1, FIL1Z, FIL1(ZETA), IL-1H4, IL-1RP1, IL-1F7
ILA
ILCF
ILDR1	ENSG00000145103	DFNB42	MGC50831
ILDR2	ENSG00000143195	C1orf32
ILF2	ENSG00000143621		NF45
ILF2P1	ENSG00000244226
ILF2P2	ENSG00000257720
ILF3	ENSG00000129351		NF90, MPHOSPH4, MPP4, NFAR-1, NFAR110, NFAR-2, TCP110, NF110, DRBP76, NFAR90, NF110b, NF90a, NF90c, NF90ctv, MPP4110
ILF3-DT	ENSG00000267100	ILF3-AS1
ILF3L		ILF3L
ILK	ENSG00000166333
ILKAP	ENSG00000132323		DKFZP434J2031, FLJ10181, PPM1O
ILRUN	ENSG00000196821	C6orf106	FLJ22195, dJ391O22.4
ILRUN-AS1	ENSG00000272288
ILRUNP1	ENSG00000227513
ILVBL-AS1	ENSG00000268564
IMD1
IMD2
IMD3
IMD4
IMD5
IMMP1L	ENSG00000148950	IMMP1	FLJ25059
IMMP1LP1	ENSG00000270269
IMMP1LP2	ENSG00000258159
IMMP1LP3	ENSG00000271098
IMMP2L	ENSG00000184903	IMMP2L-IT1	IMP2
IMMP2L-IT1
IMMT	ENSG00000132305		P87, P89, HMP, MINOS2, Mic60, MICOS60
IMMTP1	ENSG00000229880	IMMTP
IMP3	ENSG00000177971	MRPS4, C15orf12	FLJ10968, BRMS2
IMP3P1	ENSG00000230589
IMP3P2	ENSG00000239722
IMP4	ENSG00000136718		MGC19606, BXDC4
IMPA
IMPA1	ENSG00000133731	IMPA
IMPA1P1	ENSG00000251521	IMPA1P
IMPA2	ENSG00000141401
IMPA2-AS1	ENSG00000266955
IMPACT	ENSG00000154059		RWDD5
IMPDH1	ENSG00000106348	RP10	sWSS2608, LCA11
IMPDH1P1			bA537H15.4
IMPDH1P2	ENSG00000214045
IMPDH1P3	ENSG00000214815
IMPDH1P4	ENSG00000237206
IMPDH1P5	ENSG00000213513
IMPDH1P6	ENSG00000254294
IMPDH1P7	ENSG00000226553
IMPDH1P8	ENSG00000224728
IMPDH1P9	ENSG00000218976
IMPDH1P10	ENSG00000232133
IMPDH1P11	ENSG00000261647	IMPDHL1
IMPDH2	ENSG00000178035
IMPG1	ENSG00000112706	SPACR	IPM150, GP147
IMPG2	ENSG00000081148		IPM200, RP56, SPACRCAN
IMPT1
INA	ENSG00000148798	NEF5	NF-66
INAFM1	ENSG00000257704	PRR24
INAFM2	ENSG00000259330	LINC00984	OGU1
INAVA	ENSG00000163362	C1orf106	FLJ10901
INAVAP1	ENSG00000244144
INCA1	ENSG00000196388
INCENP	ENSG00000149503		FLJ31633
INCR1	ENSG00000286162
INE1	ENSG00000224975		NCRNA00010
INE2			NCRNA00011
INF2	ENSG00000203485	C14orf151, C14orf173	MGC13251
ING1	ENSG00000153487		p33ING1, p33ING1b, p24ING1c, p33, p47, p47ING1a
ING2	ENSG00000168556	ING1L	p33ING2
ING2-DT	ENSG00000232648
ING3	ENSG00000071243		p47ING3, FLJ20089, Eaf4, MEAF4
ING4	ENSG00000111653		p29ING4, my036
ING5	ENSG00000168395		FLJ23842, p28ING5
ING5-AS1	ENSG00000235351
INGX	ENSG00000243468	ING2	ING1-like
INHA	ENSG00000123999
INHBA	ENSG00000122641
INHBA-AS1	ENSG00000224116
INHBB	ENSG00000163083
INHBC	ENSG00000175189
INHBE	ENSG00000139269		activin, MGC4638
INHCAP	ENSG00000242337	TFP, TFP1
INIP	ENSG00000148153	C9orf80	HSPC043, hSSBIP1, SOSS-C, MISE
INKA1	ENSG00000185614	C3orf54, FAM212A
INKA2	ENSG00000197852	C1orf183, FAM212B	FLJ31105
INKA2-AS1	ENSG00000227811	FAM212B-AS1
INKILN
INMT	ENSG00000241644
INMT-MINDY4	ENSG00000254959	INMT-FAM188B
INO80	ENSG00000128908	INOC1	KIAA1259, hINO80, INO80A
INO80-AS1	ENSG00000259521		ENST00000560178
INO80B	ENSG00000115274	HMGA1L4, ZNHIT4	HMGIYL4, PAPA-1, hIes2, PAP-1BP, IES2
INO80B-WBP1	ENSG00000274049
INO80C	ENSG00000153391	C18orf37	FLJ38183, hIes6, IES6
INO80D	ENSG00000114933		FLJ20309
INO80D-AS1	ENSG00000227946	INO80D-AS2	AC007383.2
INO80E	ENSG00000169592	CCDC95	FLJ90652
INP10
INPP1	ENSG00000151689
INPP3
INPP4
INPP4A	ENSG00000040933	INPP4
INPP4B	ENSG00000109452
INPP5A	ENSG00000068383		5PTASE
INPP5B	ENSG00000204084
INPP5B-AS1	ENSG00000230955		AL929472.2
INPP5C
INPP5D	ENSG00000168918		SHIP, hp51CN, SHIP1
INPP5E	ENSG00000148384	JBTS1	PPI5PIV, CORS1, pharbin
INPP5F	ENSG00000198825		SAC2, KIAA0966, hSac2
INPP5J	ENSG00000185133	PIB5PA	INPP5, PIPP
INPP5K	ENSG00000132376		SKIP
INPPL1	ENSG00000165458		SHIP2
INS	ENSG00000254647	IDDM2, IDDM1
INS-IGF2	ENSG00000129965
INSAF
INSC	ENSG00000188487
INSIG1	ENSG00000186480		CL-6, MGC1405
INSIG1-DT	ENSG00000273117
INSIG2	ENSG00000125629
INSL1
INSL2
INSL3	ENSG00000248099	RLNL	RLF, MGC119818, MGC119819
INSL4	ENSG00000120211		EPIL
INSL5	ENSG00000172410
INSL6	ENSG00000120210		RIF1
INSM1	ENSG00000173404		IA-1, IA1
INSM2	ENSG00000168348		IA-6, Mlt1
INSR	ENSG00000171105		CD220
INSRL
INSRR	ENSG00000027644		IRR
INSSA1
INSSA2
INSYN1	ENSG00000205363	C15orf59	MGC131524, LOC388135
INSYN1-AS1	ENSG00000260469	C15orf59-AS1	TCONS_00023459
INSYN2A	ENSG00000188916	C10orf141, FAM196A, INSYN2	FLJ45557
INSYN2B	ENSG00000204767	C5orf57, FAM196B
INT1
INT1L1
INT3
INT4
INT6
INTS1	ENSG00000164880		DKFZp586J0619, KIAA1440, INT1, NET28
INTS2	ENSG00000108506	KIAA1287	INT2
INTS3	ENSG00000143624	C1orf60	FLJ21919, INT3, SOSS-A
INTS4	ENSG00000149262		INT4, MGC16733, MST093
INTS4P1	ENSG00000164669	INTS4L1	FLJ25037
INTS4P2	ENSG00000273024	INTS4L2	MGC133166
INTS5	ENSG00000185085	KIAA1698	INT5
INTS6	ENSG00000102786	DDX26	DICE1, HDB, Notchl2, DBI-1, DDX26A, INT6
INTS6-AS1	ENSG00000236778
INTS6L	ENSG00000165359	DDX26B	FLJ41215
INTS6L-AS1	ENSG00000225235	DDX26B-AS1
INTS6P1	ENSG00000250492
INTS7	ENSG00000143493	C1orf73	DKFZP434B168, INT7
INTS8	ENSG00000164941	C8orf52	FLJ20530, INT8, MGC131633
INTS9	ENSG00000104299		FLJ10871, CPSF2L, RC-74
INTS9-AS1	ENSG00000254034		ENST00000520055
INTS10	ENSG00000104613	C8orf35	FLJ10569, INT10
INTS11	ENSG00000127054	CPSF3L	FLJ20542, RC-68, CPSF73L, INT11
INTS12	ENSG00000138785	PHF22	SBBI22, INT12
INTS13	ENSG00000064102	C12orf11, ASUN	FLJ10637, NET48, Mat89Bb, SPATA30
INTS14	ENSG00000138614	C15orf44, VWA9	DKFZP564O1664
INTS15	ENSG00000146576	C7orf26	MGC2718
INTU	ENSG00000164066	PDZK6, PDZD6	KIAA1284, CPLANE4
INVS	ENSG00000119509	NPHP2
IOSCA		SCA8, IOSCA
IP1
IP2
IP6K1	ENSG00000176095	IHPK1	KIAA0263
IP6K2	ENSG00000068745	IHPK2
IP6K3	ENSG00000161896	IHPK3	INSP6K3
IPCEF1	ENSG00000074706		PIP3-E, KIAA0403
IPMK	ENSG00000151151
IPMKP1	ENSG00000226507
IPO4	ENSG00000196497		Imp4, FLJ23338
IPO5	ENSG00000065150	KPNB3, RANBP5	IMB3, MGC2068, PSE1
IPO5P1	ENSG00000269837
IPO7	ENSG00000205339	RANBP7	Imp7
IPO7P1	ENSG00000232951
IPO7P2	ENSG00000225674
IPO8	ENSG00000133704	RANBP8	IMP8
IPO8P1	ENSG00000224668
IPO9	ENSG00000198700		Imp9, FLJ10402
IPO9-AS1	ENSG00000231871
IPO11	ENSG00000086200		RanBP11
IPO13	ENSG00000117408		IMP13, KIAA0724, RANBP13
IPP	ENSG00000197429		KLHL27
IPPK	ENSG00000127080	C9orf12	INSP5K2, FLJ13163, IP5K, IPK1
IPPKP1	ENSG00000225585
IPW			NCRNA00002
IQANK1	ENSG00000203499	FAM83H-AS1	onco-lncRNA-3, CACClnc
IQCA1-AS1	ENSG00000232893
IQCB1	ENSG00000173226		KIAA0036, NPHP5, SLSN5
IQCB2P	ENSG00000217539	IQCB1P1	dJ313I6.1
IQCC	ENSG00000160051		FLJ10547
IQCC-AS1	ENSG00000224066
IQCE	ENSG00000106012		KIAA1023
IQCF1	ENSG00000173389		MGC39725
IQCF2	ENSG00000184345
IQCF3	ENSG00000229972
IQCF4P	ENSG00000224792
IQCF5	ENSG00000214681
IQCF5-AS1	ENSG00000235455
IQCF6	ENSG00000214686
IQCH	ENSG00000103599		FLJ12476
IQCH-AS1	ENSG00000259673
IQCJ	ENSG00000214216
IQCJ-SCHIP1	ENSG00000283154
IQCJ-SCHIP1-AS1	ENSG00000241211
IQCK	ENSG00000174628		MGC35048, FLJ36575
IQCK-AS1	ENSG00000261195
IQCM	ENSG00000234828
IQCN	ENSG00000130518	KIAA1683
IQGAP1	ENSG00000140575		p195, KIAA0051, SAR1, HUMORFA01
IQGAP2	ENSG00000145703
IQGAP3	ENSG00000183856
IQSEC1	ENSG00000144711		KIAA0763, GEP100, BRAG2, ARF-GEP100
IQSEC2	ENSG00000124313	MRX1, MRX78, MRX18	KIAA0522, BRAG1, IQ-ArfGEF
IQSEC3	ENSG00000120645		KIAA1110, MGC30156
IQSEC3-AS1	ENSG00000256540
IQSEC3-AS2	ENSG00000256948		AC026369.3
IQSEC3-AS3	ENSG00000249695
IQSEC3P1	ENSG00000256902
IQSEC3P2
IQSEC3P3	ENSG00000274727
IQUB	ENSG00000164675		FLJ35834
IRAG1	ENSG00000072952	MRVI1	JAW1L, IRAG
IRAG1-AS1	ENSG00000177112	MRVI1-AS1
IRAG2	ENSG00000118308	LRMP	JAW1
IRAIN	ENSG00000259424		IGF1R-AS, IGF1R-AS1
IRAK1	ENSG00000184216		IRAK, pelle
IRAK1BP1	ENSG00000146243		AIP70, SIMPL
IRAK2	ENSG00000134070
IRAK3	ENSG00000090376		IRAK-M
IRAK4	ENSG00000198001		NY-REN-64
IREB1			IRP1
IREB2	ENSG00000136381		IRP2
IRF1	ENSG00000125347		MAR
IRF2	ENSG00000168310
IRF2-DT	ENSG00000271646
IRF2BP1	ENSG00000170604		DKFZP434M154, IRF-2BP1
IRF2BP2	ENSG00000168264		LRIR2, IRF-2BP2
IRF2BPL	ENSG00000119669	C14orf4	EAP1, KIAA1865
IRF3	ENSG00000126456
IRF4	ENSG00000137265	MUM1	LSIRF
IRF5	ENSG00000128604		IRF-5
IRF5P1	ENSG00000251347
IRF6	ENSG00000117595	VWS, LPS	OFC6, VWS1
IRF7	ENSG00000185507
IRF8	ENSG00000140968	ICSBP1	IRF-8, ICSBP
IRF9	ENSG00000213928	ISGF3G
IRGC	ENSG00000124449	IRGC1	Iigp5, CINEMA
IRGM	ENSG00000237693	IRGM1	LRG47, LRG-47, IFI1
IRGQ	ENSG00000167378	IRGQ1	FKSG27
IRID1
IRID2
IRS1	ENSG00000169047		HIRS-1
IRS2	ENSG00000185950
IRS3P	ENSG00000184414	IRS3L
IRS4	ENSG00000133124		PY160, IRS-4
IRS4-AS1	ENSG00000237863
IRX1	ENSG00000170549		IRX-5
IRX1P1	ENSG00000231417
IRX2	ENSG00000170561
IRX2-DT	ENSG00000186493	C5orf38	CEI, IRX2NB
IRX3	ENSG00000177508		IRX-1
IRX4	ENSG00000113430
IRX4-AS1	ENSG00000249116
IRX4P1
IRX5	ENSG00000176842		IRX-2a
IRX6	ENSG00000159387	IRX7	IRX-3
ISCA1	ENSG00000135070	HBLD2	MGC4276, ISA1, hIscA, hIscA1
ISCA1P1	ENSG00000217416	ISCA1L
ISCA1P2	ENSG00000229840
ISCA1P3	ENSG00000261965
ISCA1P4	ENSG00000259405
ISCA1P5
ISCA1P6	ENSG00000227653
ISCA1P7	ENSG00000268731
ISCA2	ENSG00000165898	HBLD1	ISA2
ISCA2P1	ENSG00000226912
ISCU	ENSG00000136003	NIFUN	ISU2, hnifU
ISCUP1	ENSG00000238051
ISG15	ENSG00000187608	G1P2	IFI15, UCRP
ISG20	ENSG00000172183		HEM45, CD25
ISG20L2	ENSG00000143319		FLJ12671
ISG20L2P1	ENSG00000220748
ISG20L2P2	ENSG00000255710
ISL1	ENSG00000016082		Isl-1, ISLET1
ISL1-DT	ENSG00000259663
ISL2	ENSG00000159556		FLJ10160
ISLR	ENSG00000129009		HsT17563
ISLR2	ENSG00000167178		KIAA1465
ISM1	ENSG00000101230	C20orf82	bA149I18.1
ISM1-AS1	ENSG00000226263
ISM2	ENSG00000100593	THSD3	FLJ32147, TAIL1
ISOC1	ENSG00000066583		CGI-111
ISOC2	ENSG00000063241		FLJ23469
IST1	ENSG00000182149	KIAA0174	CHMP8
ISX	ENSG00000175329		RAXLX
ISY1	ENSG00000240682		KIAA1160, fSAP33
ISY1-RAB43	ENSG00000261796
ISYNA1	ENSG00000105655		Ino1, INOS, IPS
ISYNA1P1	ENSG00000248608
ITCH	ENSG00000078747		AIP4
ITCH-AS1	ENSG00000236388
ITCH-IT1	ENSG00000231795
ITFG1	ENSG00000129636		CDA08, TIP, LNKN-1
ITFG1-AS1	ENSG00000260281
ITFG1-AS2	ENSG00000261369
ITFG2	ENSG00000111203	FGGAP1	MDS028, KICS3
ITFG2-AS1	ENSG00000258325	CACNA1C-AS1, CACNA1C-AS2
ITGA1	ENSG00000213949		VLA1, CD49a
ITGA2	ENSG00000164171	CD49B	GPIa, VLAA2, HPA-5
ITGA2-AS1	ENSG00000249899		I2ALR
ITGA2B	ENSG00000005961	GP2B	CD41B, CD41, PPP1R93, GPIIb
ITGA3	ENSG00000005884	MSK18	CD49c, VLA3a, VCA-2, GAP-B3
ITGA4	ENSG00000115232	CD49D	CD49d
ITGA5	ENSG00000161638	FNRA	CD49e
ITGA6	ENSG00000091409		CD49f, VLA-6, ITGA6A, ITGA6B
ITGA6-AS1	ENSG00000232788	PDK1-AS1	lncIHAT, AC078883.3
ITGA7	ENSG00000135424
ITGA8	ENSG00000077943
ITGA9	ENSG00000144668		RLC, ITGA4L, ALPHA-RLC
ITGA9-AS1	ENSG00000235257
ITGA10	ENSG00000143127
ITGA11	ENSG00000137809		HsT18964
ITGAD	ENSG00000156886		CD11d, ADB2
ITGAE	ENSG00000083457		CD103, HUMINAE
ITGAEP1	ENSG00000218521
ITGAL	ENSG00000005844	CD11A	LFA-1, LFA1A
ITGAL-AS1	ENSG00000261332		RP11-279C4.1
ITGAM	ENSG00000169896	CR3A, CD11B	MAC-1, CD11b
ITGAV	ENSG00000138448	VNRA, MSK8, VTNR	CD51
ITGAW
ITGAX	ENSG00000140678	CD11C	CD11c
ITGB1	ENSG00000150093	FNRB, MSK12, MDF2	CD29, GPIIA
ITGB1-DT	ENSG00000229656		LincIN
ITGB1BP1	ENSG00000119185		ICAP-1A, ICAP-1B, ICAP1, ICAP1A, ICAP1B, ICAP-1alpha
ITGB1BP2	ENSG00000147166		CHORDC3
ITGB1P1	ENSG00000269378	FNRBL	ITGB1L
ITGB2	ENSG00000160255	CD18, MFI7	LFA-1, MAC-1
ITGB2-AS1	ENSG00000227039
ITGB3	ENSG00000259207	GP3A	CD61, GPIIIa
ITGB3BP	ENSG00000142856		NRIF3, HSU37139, TAP20, CENPR
ITGB4	ENSG00000132470		CD104
ITGB5	ENSG00000082781
ITGB5-AS1	ENSG00000244286
ITGB6	ENSG00000115221
ITGB7	ENSG00000139626
ITGB8	ENSG00000105855
ITGB8-AS1	ENSG00000271133
ITGBL1	ENSG00000198542		TIED, OSCP
ITI
ITIH1	ENSG00000055957		H1P, IATIH, ITIH
ITIH2	ENSG00000151655		H2P
ITIH2-AS1
ITIH3	ENSG00000162267		H3P
ITIH4	ENSG00000055955	ITIHL1	IHRP, H4P
ITIH4-AS1	ENSG00000239799
ITIH5	ENSG00000123243		MGC10848
ITIH6	ENSG00000102313	ITIH5L	UNQ6369
ITIHL1
ITK	ENSG00000113263		EMT, PSCTK2, LYK
ITLN1	ENSG00000179914		ITLN, FLJ20022, LFR, HL-1, hIntL
ITLN2	ENSG00000158764		HL-2
ITM2A	ENSG00000078596		BRICD2A, E25A
ITM2B	ENSG00000136156		BRI, E25B, E3-16, BRICD2B, BRI2
ITM2BP1	ENSG00000266853	ITM2BP	HsT33912
ITM2C	ENSG00000135916		BRI3, E25, hRPC.1050_D_4, ITM3, BRICD2C
ITPA	ENSG00000125877	C20orf37	HLC14-06-P, dJ794I6.3
ITPK1	ENSG00000100605
ITPK1-AS1	ENSG00000258730	C14orf85, NCRNA00203, ITPK1AS, ITPK1-AS
ITPK1P1	ENSG00000237351
ITPKA	ENSG00000137825		IP3KA, IP3-3KA
ITPKB	ENSG00000143772		IP3KB, IP3-3KB
